node,thULA,thURA,thULB,thURB
0,0.9498807363820972,1.9639580614463727,0.9498807363934445,1.9639580614422054
1,0.7828249340110752,1.9418075578644372,0.931616845828957,1.9646141986092307
2,0.6255348731622418,1.905125841790873,0.9115121742648208,1.9675625906845127
3,0.4819365264226625,1.8520194997483783,0.8903469737097057,1.9716653975356688
4,0.3550098088876068,1.784664785706216,0.8688302205747879,1.9758955623542795
5,0.2436398353755038,1.7061180878376379,0.8468362514935501,1.9802404485928229
6,0.15403054075106642,1.6213077478494198,0.8259364589857544,1.9827813947867927
7,0.09359426889387255,1.5376275021587784,0.8084502319194125,1.9808543988241567
8,0.05529547771220927,1.455245723601648,0.7931336500498826,1.9758675050848458
9,0.027605602647043894,1.3723119121417084,0.7775511350484857,1.9706882758279403
10,0.009576807380876053,1.289232972269526,0.761776038572208,1.9652461593116717
11,2.572822918640104e-07,1.209180657587044,0.746249163124319,1.9591785445670158
12,0.0029045513252655758,1.136695820539159,0.7328834658535324,1.9503602330199314
13,0.010150358319817579,1.0691358275692986,0.7195950538327776,1.9412474541283329
14,0.0234149325302999,1.0051336413594074,0.706870729046643,1.9311848888264531
15,0.05107748184246141,0.9544995809609759,0.6985186009943162,1.9159382102746696
16,0.07624764550981902,0.9048149264383399,0.6883330209096684,1.9026015150463738
17,0.10448371691250811,0.8422569183350885,0.6769571178356493,1.8901001886566466
18,0.11004718214950862,0.94764713968419,0.6713129484467212,1.875977274121174
19,0.1154116289473487,1.0552272946243744,0.6656132414457536,1.8619188889710665
20,0.20717016804059638,0.9021810330917186,0.6555707313185893,1.8468225030246752
21,0.24775345433458124,0.9717379383040118,0.6502303198567786,1.832026718639735
22,0.3089189597264592,0.960970472784472,0.6424265532872883,1.8177960390931496
23,0.3500246234077137,1.0723238925445164,0.6368800158338012,1.8038470603081944
24,0.3936178856003719,1.1837149355460963,0.6315094824877675,1.7893494199971012
25,0.4402934381285207,1.2948388281511716,0.6258913025103789,1.7747018796399405
26,0.4883788982753664,1.4116605530320874,0.6198349923060444,1.7601831615784382
27,0.5386466188338466,1.5344895220359784,0.6133450250801656,1.7456438945111845
28,0.5894811661443945,1.6748483378387204,0.6074857177134696,1.7296760612194138
29,0.6483530529370846,1.8258604932264004,0.6032309147178861,1.7106013807549383
30,0.7236439312095566,1.9777311244577283,0.6012721835688214,1.6872394177636167
31,0.8142542251217452,2.125708389963909,0.5998877945662653,1.6616414377913555
32,0.9227582846052348,2.256896332997389,0.5969587981818888,1.6371038305839682
33,1.0446649553347012,2.376601017892267,0.5934629445126307,1.6120210598919618
34,1.16753932374812,2.4919416105789676,0.5870142600731368,1.5890846480103287
35,1.2584536119379441,2.5888819038776303,0.5806976152551259,1.5629248844891583
36,1.3496525123314003,2.685649989734819,0.5713817611733555,1.5391154310816435
37,1.411268575180818,2.764711441084569,0.562967331698631,1.5113587214521527
38,1.4322545399572932,2.8222933159318138,0.5568409730608683,1.4771330778172718
39,1.4566033636511895,2.8777652670216325,0.5489801790845601,1.4440356857191812
40,1.4649183224718476,2.9235506785175676,0.5411648619328363,1.4084146016510748
41,1.4618568919720176,2.9529252118227207,0.5343033782336957,1.3690935576798327
42,1.445160851598571,2.9605151215956695,0.5292367242376061,1.3237882267056291
43,1.4318106919780933,2.9511837379146995,0.5247652802352208,1.2742035180567375
44,1.4055199669831904,2.918125862814673,0.5221998332699218,1.2133096079500385
45,1.4190019864098393,2.875615380850028,0.5233536497564588,1.1740074673740006
46,1.454534857022226,2.818523678783421,0.5260571937898662,1.1316834032743974
47,1.5015786015624917,2.7578973407497225,0.5292297802470601,1.086104700848179
48,1.6189574754200289,2.6403632159443298,0.5182023545040055,1.079918712169186
49,1.9317855089507199,2.408669793034482,0.5054672657766767,1.0727638044869081
