node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB
12,0.9828046580497223,2.560105048787338,0.8088339793867261,1.9181636816979315,6.335330162343868,11.414982915620493,-2.719016275633229,-2.6995475818358856
13,1.0030708307915839,2.5919913040646545,0.8007961915498196,1.910091889482908,6.847562665176026,10.773772332366464,-2.7158189463626927,-2.727308392989502
14,1.0246951014406844,2.622026656723014,0.7927686004806557,1.9019360812382498,7.306438669959409,10.148386768273895,-2.7123736456193286,-2.755695843365835
15,1.0475212983692594,2.6502606858342608,0.7847514284279227,1.8936936976648997,7.712547185232079,9.539753049142737,-2.7088532506009426,-2.784948032611789
16,1.071394311579587,2.6767481366723542,0.7767443608593283,1.8853613959582334,8.066246915865833,8.949616738765624,-2.7054391295843625,-2.815329692624872
17,1.0961593420588989,2.7015509703181433,0.7687465294050962,1.8769349710939813,8.36764293774683,8.38041592420695,-2.702318413910248,-2.8471321513096486
18,1.1216610504400828,2.724740081724673,0.7607565039743948,1.8684092776301,8.616552675076269,7.835169194782338,-2.699680898619182,-2.8806731582457106
19,1.1477425856458603,2.7463967181550744,0.7527722949188348,1.859778152039551,8.81246534902095,7.3173744035197394,-2.6977156477305524,-2.9162967052994464
20,1.174244487308225,2.7666136222768256,0.7447913659709533,1.8510343352404959,8.954499328727296,6.830915633659846,-2.6966073535738633,-2.9543729599164568
21,1.2010034314261562,2.7854959721902675,0.7368106464859921,1.8421694060355498,9.04134916523188,6.3799945870478805,-2.696536572418468,-2.995294579402702
22,1.2279025001903605,2.8031157255271966,0.7288284275246696,1.8331757548690286,9.08869467001568,5.9533867006370995,-2.6970432160541224,-3.0387873326647314
23,1.2549227980040636,2.8194652944124248,0.7208463931139965,1.8240489803464301,9.129655711871843,5.52421501749584,-2.6969808605441776,-3.083767237715333
24,1.282045394698211,2.834541993146459,0.712866268034395,1.8147841787141206,9.164220600820821,5.094135885618206,-2.6963357334952405,-3.13040402948036
25,1.309251372750924,2.8483480492310327,0.7048898445044378,1.8053758685367163,9.192393610085604,4.664809384408872,-2.6950850488098657,-3.1788928958519524
26,1.3365218164158323,2.8608906014193978,0.6969190096639957,1.7958179153158251,9.214175339551884,4.237894934499675,-2.6931967343439784,-3.2294544946422006
27,1.3638377698759334,2.872181645758778,0.6889557833936399,1.7861034463854062,9.229552250052912,3.81503372526191,-2.6906259394750722,-3.282338238926162
28,1.3911801688114755,2.8822379243315828,0.6810023686216691,1.7762247532170812,9.238487680457528,3.3978293537858133,-2.6873108157642123,-3.3378265509818688
29,1.4185297528448009,2.8910807488521093,0.6730612170418478,1.7661731773143785,9.24091538634449,2.9878258137640628,-2.683167309961472,-3.396240407280592
30,1.4458669708334093,2.8987357470697837,0.6651351142747952,1.7559389745257812,9.236737123538541,2.5864814132614304,-2.6780825943562996,-3.457946630364861
31,1.4731718978874937,2.9052325131972774,0.6572272901320286,1.7455111506590062,9.225826609577373,2.1951363465103872,-2.6719065850528345,-3.523367585619987
32,1.5004241937217426,2.9106041330698695,0.6493415620652607,1.7348772584002914,9.208043489769956,1.814970367934276,-2.664440729285053,-3.592994255578171
33,1.5276031489209052,2.914886538355928,0.6414825235881817,1.7240231411609082,9.183263041586285,1.446945031712066,-2.655422810041961,-3.667404172200998
34,1.5546878930568229,2.9181176182735977,0.6336557952859603,1.7129326025941731,9.15143086120338,1.0917217576506373,-2.6445057988278795,-3.7472865314017034
35,1.5816578837402602,2.920335975502702,0.625868365489821,1.7015869693667232,9.11265778605545,0.7495416113902276,-2.631227559478831,-3.8334782603890494
36,1.6084938727265443,2.92157914288238,0.6181290637166351,1.6899644959005689,9.067381082279791,0.4200431139826465,-2.6149659892954853,-3.9270174127052986
