node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB
72,0.807332803,2.298111645,0.682945179,2.384518748,-2.197814982,-1.759265824,3.582004917,4.967910909
73,0.789188578,2.28337871,0.718464281,2.422825082,-2.189494675,-1.777848339,4.286150701,4.622490637
74,0.771095927,2.268476204,0.759894785,2.457866612,-2.183271349,-1.798311183,4.999490249,4.228521876
75,0.743821096,2.245567968,0.824760612,2.516945734,-2.194209267,-1.842924753,5.21833472,4.752805048
76,0.725646127,2.230045648,0.87404277,2.552381303,-2.19320508,-1.873105452,5.946963967,4.276071944
77,0.698017924,2.205969034,0.952059794,2.609215927,-2.222639095,-1.936920179,6.276328808,4.572242915
78,0.669905871,2.180897373,1.034652022,2.668176719,-2.261566767,-2.016972436,6.644404011,4.743295305
79,0.641203484,2.154671768,1.122465151,2.726719435,-2.309060029,-2.109806864,7.064422321,4.709665547
80,0.621984397,2.13677134,1.187015418,2.758992148,-2.319200852,-2.160076039,7.789393843,3.894404797
81,0.592248627,2.108401442,1.285052155,2.805687218,-2.392190868,-2.282308847,7.88688449,3.756536948
82,0.561426277,2.078136754,1.380871025,2.85194302,-2.479603318,-2.43474038,7.708457937,3.72119714
83,0.540642937,2.057245585,1.447605107,2.876812363,-2.507961493,-2.520973459,8.052916849,3.001026483
84,0.514599454,2.030390554,1.526468073,2.903759081,-2.580452464,-2.660862667,7.81393702,2.669947301
85,0.492852097,2.007391239,1.591077291,2.921434583,-2.624290273,-2.775366038,7.796503273,2.132932588
86,0.458265328,1.969450969,1.664200739,2.958567035,-2.782438982,-3.052221726,5.882640705,2.987234344
87,0.434764867,1.94276613,1.707035716,2.982488892,-2.835839925,-3.220104109,5.168968234,2.886690402
88,0.410787639,1.914607093,1.742653276,3.005652965,-2.893371339,-3.397997137,4.298029303,2.795246648
89,0.386366869,1.884820832,1.769606205,3.028536352,-2.946895134,-3.594357894,3.252454965,2.761376522
90,0.361572079,1.853245575,1.786784935,3.051314456,-2.992029424,-3.810239871,2.072986546,2.748672416
91,0.336518604,1.81970554,1.793529538,3.073778863,-3.023245844,-4.047333566,0.813882797,2.710818669
92,0.311381283,1.784000102,1.789671021,3.095255396,-3.03336388,-4.308636795,-0.465613919,2.591610205
93,0.286417715,1.745882646,1.775500534,3.114491434,-3.012396418,-4.59969849,-1.709976897,2.321245636
94,0.262014622,1.705016515,1.751717181,3.129442557,-2.944761574,-4.931383662,-2.869976444,1.804176636
95,0.227639346,1.635240314,1.688667514,3.141592408,-2.765427477,-5.613366464,-5.072229293,0.977433109
96,0.207937715,1.545379301,1.61838456,3.08884452,-1.584956169,-7.229136055,-5.654120943,-4.243460452
97,0.190206837,1.465720748,1.537804126,3.02897423,-1.66881207,-7.49738114,-7.584147659,-5.6349302
98,0.174840005,1.402434473,1.470183221,2.979221242,-1.854325502,-7.636795767,-8.159858349,-6.003725269
99,0.157902625,1.339009999,1.416035818,2.921158266,-2.043866182,-7.653553276,-6.534071268,-7.006571014
