node,x_body,y_body,theta_body,theta_ullA,theta_urlA,theta_lllA,theta_lrlA,theta_ullB,theta_urlB,theta_lllB,theta_lrlB,dx_body,dy_body,dtheta_body,dtheta_ullA,dtheta_urlA,dtheta_lllA,dtheta_lrlA,dtheta_ullB,dtheta_urlB,dtheta_lllB,dtheta_lrlB,ddx_body,ddy_body,ddtheta_body,ddtheta_ullA,ddtheta_urlA,ddtheta_lllA,ddtheta_lrlA,ddtheta_ullB,ddtheta_urlB,ddtheta_lllB,ddtheta_lrlB,Tau_leftA,Tau_rightA,Tau_leftB,Tau_rightB
0,0.0,0.46487307885326423,0.0,0.1775126738199144,1.1219969091163802,4.260971586539154,2.59022662865956,2.2898962688738322,3.1415912467395235,3.5157902067269142,2.025349880564763,5.1754060458073186,0.0,0.24743769489214598,-14.525687096330957,0.8772179291916534,19.51459430781169,-5.1521409052664415,15.650449475014309,-18.683601614309588,-19.840134694108812,32.883735619418786,2.7165246862853456,-11.968168437375727,15.581782333586085,36.181324267167305,-44.984860137970244,-216.21858702712467,36.53118325426735,69.27867466483258,-236.1494245244613,-205.0443969790257,506.97220369857723,1.7726231718251046e-06,-1.3053530361483778e-07,-2.0074166280604877e-06,2.4010650991114063e-06
1,0.052917072211079864,0.4638223906724699,0.0006271999104580634,0.10254869165664532,1.172637635666943,4.335848235835729,2.4749874609727227,2.410697323930865,3.0990648151550344,3.316172636425395,2.0809152898888175,5.2917621749341,-0.1050699092081242,0.06272064238635454,-7.496476065638451,5.064125244921247,7.487742688274706,-11.524036443354209,12.080230956335697,-4.2526873217034415,-19.961964330911233,5.556598636501939,11.63573374730149,-10.50710003481437,-18.471897077306505,702.9284028313984,418.6950796324224,-1202.6976517133355,-637.1961709556593,-357.0255595024575,1443.1064156141972,-12.183090199046143,-2732.7420772376695,5.921556233639575,2.736277419167713,-6.3984779457941885,-0.9817469615268946
2,0.1063697426557982,0.4625502679467107,-0.003832819905238882,0.060461564767090865,1.2301716562411376,4.394747601627377,2.3810329899714846,2.403966610675401,3.089333587000611,3.3161311347682028,2.0839838994766833,5.345298071713891,-0.127213010994773,-0.4460045704415555,-4.208737118931772,5.7534354537300025,5.889970768006364,-9.395501637120573,-0.6730752324694368,-0.9731284640501128,-0.004150189809366606,0.3068627399977115,5.353620753530881,-2.21432303189323,-50.87281657842709,328.77580307807347,68.93142099923311,-159.77811947266082,212.85471615685748,-1275.3380216896692,327.95778942450795,1995.792998862177,-524.9766369224309,5.87542492545346,3.299076236978096,-8.724958201264984,-0.9396522907257594
3,0.133127363948587,0.4617523981981362,-0.00723296496438852,0.04377168706579956,1.2606383505233998,4.42288208806416,2.3365354583089175,2.3914367810088955,3.0866998283617546,3.3311293449782537,2.082655630361576,5.351037124319496,-0.15955942414598948,-0.679967110696966,-3.3376716937103277,6.092784196912711,5.626385086684241,-8.898696235421742,-2.5057378222533213,-0.5267037790393895,2.9993689930113483,-0.26562964129926236,1.1477060391495595,-6.468693749596597,-46.78824866036189,174.19722691595425,67.86357064374809,-52.7123375714211,99.35203577940415,-366.4991535300627,89.27680964483979,600.6491561793201,-114.48805378435398,2.820225843410221,1.8410833752032512,-2.8162295994114994,-1.0433504463626468
4,0.15991299355763552,0.46078589295055955,-0.011830413831054407,0.031614320722078836,1.2933209382624287,4.449520578151149,2.2936479804846996,2.371041744359327,3.0862680861718244,3.358921828384577,2.078329009913371,5.356677079889165,-0.1932848539627917,-0.9194127347192261,-2.4312695499688886,6.535969891631068,5.327251641067278,-8.57677690718294,-4.0786655739964255,-0.08634120336070952,5.55803096767822,-0.865251589249544,1.1278966062248081,-6.744520832470817,-47.88511245770793,181.2652403325248,88.62971256164228,-59.82167659868491,64.37847130416452,-314.559193084548,88.06513606019864,511.68951990032565,-119.91434183420206,2.774526055593645,1.9469012582597067,-2.627854574009919,-1.1280545868872345
5,0.1867252321663181,0.4596412984491026,-0.017657864450564623,0.023983866219892323,1.3285449163465868,4.474804185574154,2.2519687159488067,2.3444128883741575,3.088038182918554,3.3966945492906055,2.0707631908208115,5.362038028974328,-0.2289014108124283,-1.165401080074869,-1.5259743065927027,7.04425739213926,5.056335149423621,-8.335216045286378,-5.325364306370154,0.3539923021517055,7.553967011556171,-1.5130482123006732,1.072107901379526,-7.122767146605717,-49.193910353098936,181.04521570462003,101.64973343533673,-54.179158706993555,48.30848131351953,-249.32069683645426,88.05997277767621,399.1567107421027,-129.5494262353939,2.727311647921184,2.048825890633585,-2.4071560601920363,-1.2244531998920434
6,0.21356038340065706,0.4583096960110733,-0.024752549316061436,0.020892630198428463,1.366627897273875,4.498865183155582,2.2111367317059734,2.3133268428904663,3.091901179577213,3.4413951797780933,2.059883958412886,5.3666531570847615,-0.26630177581735187,-1.4188372779959801,-0.6182037659864082,7.616061040233782,4.811861409140996,-8.165823074118975,-6.216772273034736,0.7725450485806322,8.939497960510185,-2.1756936057040295,0.9229607699217296,-7.479547447936719,-50.68367827763403,181.54135205391992,114.3526945863566,-48.89131269113899,33.87621390932362,-178.26906719383115,83.70466774768785,277.08672019436335,-132.51976713234268,2.6799714472848803,2.147849056656356,-2.166163372421343,-1.3395885447725786
7,0.24041198329134003,0.45678437973570596,-0.0331582745304264,0.022386656649488627,1.4078885028068224,4.5218160416073365,2.1708306215487556,2.2795218783843616,3.097572984216345,3.4900764053332316,2.0459395495931427,5.369965742195459,-0.30504313255381815,-1.681034151529669,0.2987855804789767,8.251576781875432,4.589868914390657,-8.060690298775002,-6.760546933998653,1.1342861033442468,9.735602890831426,-2.7886978043036796,0.6624733213281069,-7.747760257413309,-52.43591571149586,183.3857720405676,127.09476437661903,-44.395570345417795,21.025168119496268,-108.7477585223289,72.34343873492196,159.21048356233442,-122.5927527485727,2.633476068242339,2.245460945326131,-1.9156824927968532,-1.476144245608744
8,0.2672712034351557,0.4550614198316662,-0.0429248894126193,0.028552440322764407,1.452646281985376,4.5437405793365295,2.1307707471097785,2.244566325441542,3.104600325416557,3.5401317123115197,2.0295143385617305,5.371502862575253,-0.34457009574728487,-1.953198920760494,1.2330784167851718,8.950987321776976,4.384629060055309,-8.011466046713046,-6.990666582644211,1.4053789786567952,10.010425592452123,-3.284833573023422,0.30740455143419887,-7.904890566657035,-54.429496805480454,186.84669986063633,139.87322405790223,-41.04536390758492,9.844225165256946,-46.02100674613345,54.21513163703654,54.961049522360675,-99.220851820513,2.588215736559195,2.342555518191396,-1.664200495759229,-1.6329659395339926
9,0.2941276747145137,0.4531393739607962,-0.05410623622902308,0.039516525389571254,1.5012170702997778,4.564687841160738,2.0907217275654584,2.2098026017414,3.1124111081573944,3.589387828966139,2.0114478051216915,5.370957281997365,-0.3843850578544387,-2.236129068537012,2.192679444647145,9.71354823483813,4.189189535079043,-8.00930140527241,-6.952308552171208,1.5620585446102018,9.850605303920796,-3.613080003358733,-0.1091092700617583,-7.962492854607763,-56.582479570383924,191.90816525359318,152.50261459778318,-39.08545277384144,0.43290112790956037,7.671124808209596,31.33394729874395,-31.96205240701172,-65.64516748907823,2.5440740677822116,2.4395744491078575,-1.4171555763016388,-1.806451068353325
